text,label
"The stock market rose sharply today after strong earnings reports.",REAL
"A local school announced a new science program for students.",REAL
"The city council approved a budget plan for public parks and transit.",REAL
"A new study found that regular exercise improves heart health.",REAL
"The government released a new climate policy to reduce emissions.",REAL
"The moon landing was staged in a Hollywood studio.",FAKE
"The world is ending next week according to secret government documents.",FAKE
"Scientists have confirmed that vaccines contain microchips.",FAKE
"A famous celebrity was seen performing a miracle in a viral video.",FAKE
"The earth is flat and NASA is hiding the truth.",FAKE
